"EmmissionsCW",,"EmmissionsCWLnChng",,
0,0,0,0,
0.79291,0.58776,0.79291,0.58776,
1.6109,1.2049,1.6109,1.2049,
2.4184,1.8207,2.4184,1.8207,
3.2279,2.4479,3.2279,2.4479,
4.0075,3.0623,4.0075,3.0623,
4.8169,3.7146,4.8169,3.7146,
5.6383,4.3932,5.6383,4.3932,
6.4516,5.0838,6.4516,5.0838,
7.2333,5.7673,7.2333,5.7673,
8.0408,6.4952,8.0408,6.4952,
8.7986,7.1977,8.7986,7.1977,
9.569,7.9337,9.569,7.9337,
10.2934,8.6471,10.2934,8.6471,
11.03,9.3952,11.03,9.3952,
11.7707,10.1715,11.7707,10.1715,
12.4485,10.9051,12.4485,10.9051,
13.1374,11.675,13.1374,11.675,
13.8311,12.4734,13.8311,12.4734,
14.5354,13.3083,14.5354,13.3083,
15.1654,14.0755,15.1654,14.0755,
15.8071,14.8775,15.8071,14.8775,
16.4578,15.7113,16.4578,15.7113,
17.1199,16.5805,17.1199,16.5805,
17.7893,17.4825,17.7893,17.4825,
18.3837,18.3016,18.3837,18.3016,
18.977,19.1376,18.977,19.1376,
19.5787,20.0055,19.5787,20.0055,
20.1812,20.895,20.1812,20.895,
20.7789,21.7993,20.7789,21.7993,
21.3747,22.7223,21.3747,22.7223,
21.9679,23.665,21.9679,23.665,
22.5569,24.6259,22.5569,24.6259,
23.1403,25.604,23.1403,25.604,
23.7234,26.6082,23.7234,26.6082,
24.2198,27.4848,24.2198,27.4848,
24.7079,28.3661,24.7079,28.3661,
25.1959,29.266,25.1959,29.266,
25.6813,30.1784,25.6813,30.1784,
26.168,31.1091,26.168,31.1091,
26.6501,32.0457,26.6501,32.0457,
27.2936,33.3141,27.2936,33.3141,
28.601,35.9286,28.601,35.9286,
30.3648,39.4567,30.3648,39.4567,
30.9751,40.6577,30.9751,40.6577,
31.5122,41.7017,31.5122,41.7017,
32.0561,42.746,32.0561,42.746,
32.6101,43.7956,32.6101,43.7956,
33.087,44.6868,33.087,44.6868,
33.5662,45.5695,33.5662,45.5695,
34.0574,46.4606,34.0574,46.4606,
34.5583,47.3539,34.5583,47.3539,
35.0712,48.2515,35.0712,48.2515,
35.5956,49.1501,35.5956,49.1501,
36.1373,50.0581,36.1373,50.0581,
36.6868,50.9578,36.6868,50.9578,
37.2571,51.8686,37.2571,51.8686,
37.8443,52.7813,37.8443,52.7813,
38.4428,53.6848,38.4428,53.6848,
39.0682,54.5996,39.0682,54.5996,
39.7066,55.5036,39.7066,55.5036,
40.3666,56.4074,40.3666,56.4074,
41.0462,57.3067,41.0462,57.3067,
41.7482,58.2045,41.7482,58.2045,
42.4675,59.0936,42.4675,59.0936,
43.2011,59.971,43.2011,59.971,
43.9603,60.8495,43.9603,60.8495,
44.7342,61.7163,44.7342,61.7163,
45.534,62.5839,45.534,62.5839,
46.3484,63.4398,46.3484,63.4398,
47.1766,64.2845,47.1766,64.2845,
48.0249,65.1255,48.0249,65.1255,
48.888,65.9592,48.888,65.9592,
49.775,66.796,49.775,66.796,
50.6692,67.6216,50.6692,67.6216,
51.5784,68.446,51.5784,68.446,
52.506,69.2727,52.506,69.2727,
53.444,70.0957,53.444,70.0957,
54.3911,70.9158,54.3911,70.9158,
55.3508,71.737,55.3508,71.737,
56.3225,72.5602,56.3225,72.5602,
57.501,73.5481,57.501,73.5481,
58.8964,74.7057,58.8964,74.7057,
60.5143,76.0339,60.5143,76.0339,
62.777,77.8714,62.777,77.8714,
66.5787,80.9224,66.5787,80.9224,
72.4707,85.6041,72.4707,85.6041,
95.4653,103.6576,95.4653,103.6576,
174.4831,165.3219,174.4831,165.3219,
246.0685,221.2759,246.0685,221.2759,
325.1517,282.7195,325.1517,282.7195,
404.0027,344.2526,404.0027,344.2526,
450.4729,380.6028,450.4729,380.6028,
463.4089,390.8264,463.4089,390.8264,
473.1353,398.593,473.1353,398.593,
478.8087,403.1741,478.8087,403.1741,
482.0411,405.8151,482.0411,405.8151,
484.8614,408.146,484.8614,408.146,
487.273,410.1632,487.273,410.1632,
